image_ID,roll,pitch,yaw,condition,rollpitchyaw,norm_yaw,norm_roll,norm_pitch,norm_rollpitchyaw,condition
part2_faceAlign_frame_face_B_A1_1021.jpg,0.13402179,-4.9649367,-6.7853928,A1_B,11.884352,0.418867,0.514005,0.49817425,0.12677677,B_A1
part2_faceAlign_frame_face_B_A1_1022.jpg,0.07869445,-4.582136,0.13344222,A1_B,4.794273,0.46884832,0.51237136,0.5072004,0.04760603,B_A1
part2_faceAlign_frame_face_B_A1_1023.jpg,1.8800551,-2.970632,-1.5661432,A1_B,6.41683,0.45657057,0.56556165,0.54519856,0.06572417,B_A1
part2_faceAlign_frame_face_B_A1_1024.jpg,1.3436892,-3.312603,2.8466766,A1_B,7.502969,0.4884486,0.5497239,0.5371351,0.07785244,B_A1
part2_faceAlign_frame_face_B_A1_1025.jpg,2.199076,-4.293183,-1.2630134,A1_B,7.7552724,0.45876038,0.5749817,0.51401377,0.08066977,B_A1
part2_faceAlign_frame_face_B_A1_1026.jpg,0.74973506,-3.8284764,-0.26946542,A1_B,4.8476768,0.46593773,0.53218573,0.5249712,0.04820236,B_A1
part2_faceAlign_frame_face_B_A1_1027.jpg,-0.5388768,-4.312708,0.462652,A1_B,5.3142366,0.4712265,0.49413574,0.5135533,0.053412158,B_A1
part2_faceAlign_frame_face_B_A1_1028.jpg,-0.23693828,-4.73763,0.25661176,A1_B,5.23118,0.4697381,0.50305134,0.503534,0.052484717,B_A1
part2_faceAlign_frame_face_B_A1_1029.jpg,-0.31261542,-5.837601,-2.2144594,A1_B,8.3646755,0.4518872,0.50081676,0.47759745,0.087474614,B_A1
part2_faceAlign_frame_face_B_A1_103.jpg,4.5845113,-1.1084886,-11.484005,A1_B,17.177006,0.38492444,0.6454185,0.5891066,0.18587673,B_A1
part2_faceAlign_frame_face_B_A1_1030.jpg,-0.93145704,-3.1338696,-1.5734686,A1_B,5.6387954,0.45651767,0.48254368,0.54134953,0.057036314,B_A1
part2_faceAlign_frame_face_B_A1_1031.jpg,0.60732865,-6.555857,-0.024779327,A1_B,7.1879654,0.4677053,0.52798074,0.46066147,0.07433499,B_A1
part2_faceAlign_frame_face_B_A1_1032.jpg,1.1766981,-5.078658,-1.4529443,A1_B,7.7083006,0.4573883,0.54479307,0.49549276,0.08014526,B_A1
