image_ID,pitch,yaw,pitchyaw,norm_pitch,norm_yaw,norm_pitchyaw,condition
frame_face_A2_8836.jpg,-0.40096807,0.11185956,0.51282763,0.38800094,0.51401037,0.3251297,A2
frame_face_A2_20573.jpg,-0.8514526,-0.06897278,0.92042536,0.07306622,0.42005962,0.58732116,A2
frame_face_A2_21520.jpg,-0.28702447,-0.024194125,0.3112186,0.46765915,0.44332418,0.19544257,A2
frame_face_A2_16945.jpg,-0.3063476,-0.21194568,0.51829326,0.45415032,0.3457786,0.3286455,A2
frame_face_A2_17586.jpg,-0.7068507,-0.08986099,0.7967117,0.17415772,0.40920722,0.5077411,A2
frame_face_A2_20210.jpg,-0.8450744,0.09767169,0.9427461,0.07752522,0.50663906,0.60167927,A2
frame_face_A2_4308.jpg,-0.32237488,0.18768583,0.5100607,0.44294563,0.5534056,0.32334983,A2
frame_face_A2_22513.jpg,-0.28559703,-0.07851855,0.36411557,0.4686571,0.41510013,0.2294691,A2
frame_face_A2_1931.jpg,-0.22322525,0.30513355,0.5283588,0.5122614,0.6144251,0.3351203,A2
frame_face_A2_6525.jpg,-0.4810657,-0.3431383,0.82420397,0.33200452,0.27761796,0.5254258,A2
frame_face_A2_25180.jpg,-0.41699246,0.02333924,0.4403317,0.3767983,0.46801993,0.2784959,A2
frame_face_A2_24321.jpg,-0.69486874,0.2926963,0.98756504,0.18253434,0.6079633,0.6305095,A2
frame_face_A2_7683.jpg,-0.15741023,0.39597562,0.55338585,0.5582728,0.6616217,0.35121918,A2
frame_face_A2_3962.jpg,-0.64815015,0.046789557,0.69493973,0.21519542,0.48020348,0.4422752,A2
frame_face_A2_11027.jpg,-0.5475166,-0.30944785,0.85696447,0.28554857,0.29512173,0.5464993,A2
frame_face_A2_4891.jpg,-0.28669578,0.020015812,0.30671158,0.46788895,0.4662933,0.1925434,A2
frame_face_A2_25289.jpg,-0.34173572,-0.2049946,0.54673034,0.42941043,0.34939,0.34693795,A2
frame_face_A2_26215.jpg,-0.28004068,0.13651931,0.41656,0.47254157,0.5268222,0.26320451,A2
frame_face_A2_3029.jpg,-0.7152557,0.36681423,1.0820699,0.16828178,0.6464711,0.69130075,A2
frame_face_A2_25586.jpg,-0.44120818,-0.13276224,0.57397044,0.359869,0.38691804,0.36446044,A2
frame_face_A2_13274.jpg,-0.61838204,0.6434719,1.2618539,0.23600636,0.7902075,0.8069487,A2
frame_face_A2_20270.jpg,-0.083054304,0.047507532,0.13056183,0.6102552,0.4805765,0.079233214,A2
frame_face_A2_16315.jpg,-0.71374893,0.2105019,0.92425084,0.16933516,0.5652596,0.589782,A2
frame_face_A2_5962.jpg,-0.22715601,-0.08887662,0.31603265,0.5095133,0.40971866,0.19853926,A2
frame_face_A2_15154.jpg,-0.7069347,0.098286495,0.8052212,0.17409901,0.50695854,0.5132149,A2
frame_face_A2_4054.jpg,-0.2244256,0.10574155,0.33016714,0.51142216,0.5108318,0.20763144,A2
frame_face_A2_13201.jpg,-0.28133494,-0.48545244,0.7667874,0.47163674,0.20367923,0.48849198,A2
frame_face_A2_5197.jpg,-0.20868857,-0.053091332,0.2617799,0.522424,0.42831075,0.1636406,A2
frame_face_A2_4841.jpg,-0.32311505,0.014246566,0.3373616,0.44242817,0.4632959,0.21225934,A2
frame_face_A2_7304.jpg,-0.12210454,0.39312133,0.5152259,0.58295506,0.6601388,0.32667238,A2
frame_face_A2_17519.jpg,-0.68642086,0.0179448,0.7043657,0.18844028,0.46521732,0.44833854,A2
frame_face_A2_24255.jpg,-0.6172052,-0.012768546,0.62997377,0.23682909,0.4492603,0.40048516,A2
frame_face_A2_25504.jpg,-0.45708328,-0.03656254,0.49364582,0.34877068,0.4368982,0.3127908,A2
frame_face_A2_8357.jpg,-0.43360436,0.18835439,0.62195873,0.36518484,0.5537529,0.39532942,A2
frame_face_A2_13597.jpg,-0.32879183,-0.4455432,0.774335,0.43845952,0.22441393,0.49334705,A2
frame_face_A2_6572.jpg,-0.663371,0.32854405,0.9919151,0.20455445,0.6265879,0.6333077,A2
frame_face_A2_17653.jpg,-0.63269806,-0.035035975,0.667734,0.225998,0.43769136,0.42477486,A2
frame_face_A2_16872.jpg,-0.3918635,0.0900615,0.481925,0.394366,0.50268525,0.30525124,A2
frame_face_A2_6156.jpg,-0.31828874,-0.2345625,0.55285126,0.44580224,0.33402812,0.3508753,A2
frame_face_A2_9224.jpg,-0.43165553,-0.074606895,0.5062624,0.3665473,0.41713244,0.32090655,A2
frame_face_A2_24736.jpg,-0.44470727,-0.024341065,0.46904835,0.35742277,0.44324785,0.29696822,A2
frame_face_A2_10115.jpg,-0.51610255,0.29148594,0.80758846,0.30751017,0.6073345,0.51473767,A2
frame_face_A2_15827.jpg,-0.5787347,0.08755241,0.6662871,0.2637239,0.5013817,0.4238441,A2
frame_face_A2_24450.jpg,-0.46376348,0.11146824,0.57523173,0.34410053,0.51380706,0.36527178,A2
frame_face_A2_2249.jpg,-0.19434161,0.49994734,0.69428897,0.53245395,0.7156398,0.4418566,A2
frame_face_A2_24339.jpg,-0.5598723,0.021360304,0.5812326,0.27691063,0.4669918,0.3691319,A2
frame_face_A2_24948.jpg,-0.35291263,-0.026801819,0.37971446,0.4215966,0.44196936,0.23950326,A2
frame_face_A2_15062.jpg,-0.6507088,-0.05089686,0.7016057,0.21340665,0.42945087,0.44656312,A2
frame_face_A2_11681.jpg,-0.6363889,0.04277929,0.67916816,0.22341773,0.47811994,0.43212998,A2
frame_face_A2_7976.jpg,-0.33356923,0.038127303,0.37169653,0.43511963,0.47570303,0.23434563,A2
frame_face_A2_7952.jpg,-0.37791693,0.051506773,0.4294237,0.40411606,0.48265427,0.27147922,A2
frame_face_A2_24043.jpg,-0.5488069,-0.15627296,0.70507985,0.28464648,0.37470317,0.44879794,A2
frame_face_A2_17665.jpg,-0.71059513,-0.055190913,0.76578605,0.17153998,0.42721993,0.48784783,A2
frame_face_A2_8414.jpg,-0.38376725,0.6329093,1.0166765,0.40002608,0.7847197,0.6492358,A2
frame_face_A2_26336.jpg,-0.451753,-0.069789894,0.5215429,0.35249707,0.4196351,0.33073586,A2
frame_face_A2_2531.jpg,-0.43297082,0.027832378,0.4608032,0.36562777,0.47035435,0.29166442,A2
frame_face_A2_15339.jpg,-0.70836866,0.064767174,0.77313584,0.17309652,0.48954368,0.49257568,A2
frame_face_A2_23919.jpg,-0.89505386,-0.035394795,0.93044865,0.042584475,0.43750492,0.5937688,A2
frame_face_A2_24478.jpg,-0.7050103,-0.19233154,0.89734185,0.17544435,0.35596904,0.57247245,A2
frame_face_A2_7557.jpg,-0.54249656,0.07771013,0.6202067,0.28905806,0.49626815,0.3942024,A2
