image_ID,pitch,yaw,pitchyaw,norm_yaw,norm_pitch,norm_pitchyaw,condition
frame_face_B_A2_1037.jpg,-0.45230705,0.059050784,0.51135784,0.46819013,0.38142085,0.3643309,B_A2
frame_face_B_A2_1038.jpg,-0.4043445,0.033294637,0.43763915,0.45343927,0.4190995,0.31056008,B_A2
frame_face_B_A2_1039.jpg,-0.5273529,-0.013992066,0.541345,0.42635757,0.32246593,0.38620365,B_A2
frame_face_B_A2_104.jpg,-0.26925316,0.01777802,0.28703117,0.44455272,0.5252253,0.20070583,B_A2
frame_face_B_A2_1040.jpg,-0.45602438,-0.0052155647,0.46123993,0.43138397,0.37850055,0.3277746,B_A2
frame_face_B_A2_1041.jpg,-0.49521938,0.11782332,0.6130427,0.5018499,0.34770957,0.43850031,B_A2
frame_face_B_A2_1042.jpg,-0.30120015,0.018290743,0.3194909,0.44484633,0.50012815,0.22438213,B_A2
frame_face_B_A2_1043.jpg,-0.284949,0.015853923,0.30080292,0.44345075,0.5128948,0.21075101,B_A2
frame_face_B_A2_1044.jpg,-0.16172607,0.07934649,0.24107257,0.47981375,0.6096969,0.16718338,B_A2
frame_face_B_A2_1045.jpg,-0.23207827,0.12297449,0.35505277,0.5048001,0.5544293,0.25032115,B_A2
frame_face_B_A2_1046.jpg,-0.19438063,-0.025655981,0.22003661,0.4196775,0.584044,0.15183964,B_A2
frame_face_B_A2_1047.jpg,-0.28814968,-0.021620924,0.3097706,0.4219884,0.5103804,0.2172921,B_A2
frame_face_B_A2_1048.jpg,-0.24408713,-0.06720429,0.31129143,0.39588222,0.5449953,0.21840139,B_A2
frame_face_B_A2_1049.jpg,-0.248261,-0.02443996,0.27270097,0.4203739,0.5417164,0.1902533,B_A2
frame_face_B_A2_105.jpg,-0.3670435,0.27558312,0.64262664,0.592201,0.4484026,0.460079,B_A2
frame_face_B_A2_1050.jpg,-0.27851617,-0.066817574,0.34533376,0.3961037,0.5179483,0.24323204,B_A2
frame_face_B_A2_1051.jpg,-0.376368,-0.040253803,0.4166218,0.4113171,0.44107744,0.2952299,B_A2
frame_face_B_A2_1052.jpg,-0.24088791,-0.055636995,0.2965249,0.40250698,0.5475086,0.2076306,B_A2
frame_face_B_A2_1053.jpg,-0.18918355,-0.05895783,0.24814138,0.40060508,0.5881267,0.17233941,B_A2
frame_face_B_A2_1054.jpg,-0.21428828,-0.09210716,0.30639544,0.38162002,0.5684048,0.21483022,B_A2
frame_face_B_A2_1055.jpg,-0.18068658,-0.0164445,0.19713108,0.424953,0.5948018,0.13513222,B_A2
frame_face_B_A2_1056.jpg,-0.23627947,-0.030842604,0.2671221,0.41670704,0.55112886,0.18618403,B_A2
frame_face_B_A2_1057.jpg,-0.27048635,-0.120457426,0.39094377,0.36538348,0.52425647,0.27650023,B_A2
frame_face_B_A2_1058.jpg,-0.18538876,0.11384241,0.29923117,0.49957,0.59110785,0.20960458,B_A2
frame_face_B_A2_1059.jpg,-0.28091106,-0.016861565,0.29777262,0.42471415,0.51606697,0.2085407,B_A2
frame_face_B_A2_106.jpg,-0.47227997,-0.01005272,0.48233268,0.42861366,0.36573043,0.34315977,B_A2
frame_face_B_A2_1060.jpg,-0.21978468,-0.035934873,0.25571954,0.41379064,0.5640869,0.17786697,B_A2
